Given Data Set,,,,
To Date,PM10,PM2.5,Wind Speed,Atmospheric temperature
07-02-2018 11:00,318.67,143.62,2.56,36.36
07-02-2018 12:00,252.25,110.79,2.18,31.26
07-02-2018 13:00,210.41,90.19,2.3,32.96
07-02-2018 14:00,133.14,28.1,2.14,33.87
07-02-2018 16:00,235.62,90.75,3.56,31.37
07-02-2018 17:00,289.19,111.73,2.62,30.32
07-02-2018 18:00,390.35,131.85,2.74,28.27
07-02-2018 19:00,690.26,227.83,2.65,27.35
07-02-2018 20:00,652.86,267.02,2.74,27.1
07-02-2018 21:00,357.13,143.25,2.6,26.6
07-02-2018 22:00,323.61,134.94,2.56,25.99
07-02-2018 23:00,289.87,123.85,2.53,25.55
08-02-2018 00:00,288.2,116.8,2.75,25.05
08-02-2018 01:00,345.65,136.8,2.72,25.21
08-02-2018 02:00,327.42,137.24,2.69,23.59
08-02-2018 03:00,465,182.29,2.88,23.29
08-02-2018 04:00,404.13,159.77,2.52,23.55
08-02-2018 05:00,261.06,100.25,2.71,23.2
08-02-2018 06:00,240.26,101.05,2.68,22.39
08-02-2018 07:00,339.02,136.48,2.76,22.34
08-02-2018 08:00,697.04,250.24,2.91,22.99
08-02-2018 09:00,725.11,250.76,2.42,25.43
08-02-2018 10:00,408.75,161.82,3.97,28.07
08-02-2018 11:00,339.75,138.98,2.45,29.79
08-02-2018 12:00,247.92,97.24,2.24,31.17
08-02-2018 13:00,187.79,61.16,2.42,31.49
08-02-2018 14:00,134.3,53.93,2.11,32.63
08-02-2018 15:00,115.07,53.72,2.5,33.26
08-02-2018 16:00,173.86,49.32,2.15,33.06
08-02-2018 17:00,90.02,66.76,2.35,32.23
08-02-2018 18:00,228.15,85.14,2.33,28.72
08-02-2018 19:00,369.32,148.87,5.97,25.08
08-02-2018 20:00,714.32,273.66,2.94,24.77
08-02-2018 21:00,601.44,239.34,2.62,23.99
08-02-2018 22:00,286.27,139.9,2.47,22.06
08-02-2018 23:00,212.88,118.77,3.01,21.35
09-02-2018 00:00,160.83,92.12,2.68,20.85
09-02-2018 01:00,159.37,96.78,2.72,20.42
09-02-2018 02:00,230.35,108.07,2.79,19.34
09-02-2018 03:00,197.26,96.57,2.61,18.98
09-02-2018 04:00,209.18,99.74,2.43,18.21
09-02-2018 05:00,246.19,119.35,3.32,18.43
09-02-2018 06:00,261.59,123.84,2.64,18.32
09-02-2018 07:00,577.95,240.56,2.86,17.29
09-02-2018 08:00,966.19,369.74,2.64,19.09
09-02-2018 09:00,713.58,336.4,2.62,22.38
09-02-2018 10:00,603.27,298.11,2.37,24.91
09-02-2018 11:00,375.24,181.43,2.15,26.36
09-02-2018 12:00,214.31,112.92,2.3,28.37
09-02-2018 13:00,225.9,97.12,2.44,29.22
09-02-2018 14:00,238.82,95.39,2.72,30.89
09-02-2018 15:00,236,100.38,3.52,30.64
09-02-2018 16:00,246.44,95.1,3.02,31.41
09-02-2018 17:00,334.65,143.64,3.1,30.83
09-02-2018 18:00,361.94,170.7,3.01,27.4
09-02-2018 19:00,596.77,285.64,2.88,26.01
09-02-2018 20:00,517.06,224.04,2.98,24.43
09-02-2018 21:00,554.8,243.02,2.97,23.36
09-02-2018 22:00,533.76,222.81,2.93,22.5
09-02-2018 23:00,383.09,175.81,2.81,21.71
10-02-2018 00:00,332.14,162.26,3.29,21
10-02-2018 01:00,164.79,102.63,3.05,21.2
10-02-2018 02:00,179.12,102.94,3.01,19.95
10-02-2018 03:00,256.58,132.76,2.94,19.95
10-02-2018 04:00,235.4,118.26,3,19.67
10-02-2018 05:00,401.18,168.17,3.02,19.21
10-02-2018 06:00,697.09,249.44,2.69,18.68
10-02-2018 07:00,470.7,191.24,2.86,18.15
10-02-2018 08:00,426.01,195.33,2.63,20
10-02-2018 09:00,256.02,136.31,4.27,22.26
10-02-2018 10:00,175.9,83.84,2.13,25.82
10-02-2018 11:00,184.44,73.48,2.22,26.58
12-02-2018 15:00,122.35,64.52,2.17,30.93
12-02-2018 16:00,160.93,82.62,2.49,31.17
12-02-2018 17:00,91.1,46.42,2.37,29.99
12-02-2018 18:00,212.61,82.21,2.77,25.85
12-02-2018 19:00,257.99,112.35,3.27,24.78
12-02-2018 20:00,287.1,136.72,2.99,23.45
12-02-2018 21:00,439.59,182.92,2.91,21.89
12-02-2018 22:00,439.96,187.4,3.09,21.6
12-02-2018 23:00,370.44,164.51,3.03,20.57
13-02-2018 00:00,454.46,184.26,3.07,20.72
13-02-2018 01:00,452.22,206.17,3.03,21.63
13-02-2018 02:00,177.73,88.99,2.85,20.86
13-02-2018 03:00,163.3,68.81,2.66,18.86
13-02-2018 04:00,205.93,102.75,3.33,17.61
13-02-2018 05:00,354.51,143.12,2.96,17.11
13-02-2018 06:00,582.61,250.13,3.11,16.62
13-02-2018 07:00,726.8,318.28,3.18,16.39
13-02-2018 08:00,816.52,351.21,2.59,18.31
13-02-2018 09:00,673.8,251.55,2.52,21.65
13-02-2018 10:00,389.81,183.36,2.22,24.92
13-02-2018 11:00,306.43,138.01,2.34,27.63
13-02-2018 12:00,359.64,148.16,2.69,28.8
13-02-2018 13:00,378.54,173.71,2.26,30.35
13-02-2018 14:00,343.28,169.55,2.45,30.89
13-02-2018 15:00,330.08,161.2,2.3,31.38
13-02-2018 16:00,270.86,117.64,2.25,31.27
13-02-2018 17:00,301.31,123.07,2.13,30.56
13-02-2018 18:00,363.86,132.57,3.1,28.58
13-02-2018 19:00,626.49,210.13,2.88,26.68
13-02-2018 20:00,372.15,150.36,9.05,24.03
13-02-2018 21:00,374.68,153.79,2.48,23.36
13-02-2018 22:00,338.98,142.38,2.73,22.48
13-02-2018 23:00,517.68,198.83,2.7,22.33
14-02-2018 00:00,371.25,114.94,2.39,22.31
14-02-2018 01:00,155.95,49.06,2.52,21.62
14-02-2018 02:00,171.59,68.09,2.96,20.86
14-02-2018 03:00,186.64,64.1,2.27,20.38
14-02-2018 04:00,133.02,40.73,3.77,20.92
14-02-2018 05:00,129.71,46.04,2.37,20.03
14-02-2018 06:00,105.64,36.86,2.49,19.1
14-02-2018 07:00,312.76,103.33,2.73,17.88
14-02-2018 08:00,398.35,164.48,2.74,19.9
14-02-2018 09:00,275.9,109.98,2.44,23.18
14-02-2018 10:00,195.09,72.75,2.16,25.26
14-02-2018 11:00,144.32,53.68,2.45,26.23
14-02-2018 12:00,132.96,45.58,2.15,27.53
14-02-2018 13:00,114.17,40.39,2.21,29.56
14-02-2018 14:00,117.88,34.93,2.1,30.65
14-02-2018 15:00,107.06,38.05,2.2,31.08
14-02-2018 16:00,118.27,41.5,2.3,31.22
14-02-2018 17:00,105.65,41.37,2.34,30.52
14-02-2018 18:00,148.66,63.37,2.25,28.7
14-02-2018 19:00,219.33,80.83,2.67,25.84
14-02-2018 20:00,340.26,114.55,3.05,24.99
14-02-2018 21:00,439.97,143.93,2.91,23.93
14-02-2018 22:00,380.09,114.75,3,23.05
14-02-2018 23:00,233.92,81.21,2.77,22.26
15-02-2018 00:00,334.99,126.41,2.13,21.53
15-02-2018 01:00,225.47,99.96,2.68,20.91
15-02-2018 02:00,184.15,85.05,2.72,20.6
15-02-2018 03:00,234.96,112.89,2.82,19.9
15-02-2018 04:00,252.12,120.24,2.56,18.92
15-02-2018 05:00,299.52,142.01,3.01,17.79
15-02-2018 06:00,252.25,127.02,3.29,17.4
15-02-2018 07:00,381.72,172.23,2.46,17.34
15-02-2018 08:00,572.98,235.23,2.35,19.75
15-02-2018 09:00,599.11,284.34,2.23,23.44
15-02-2018 10:00,291.84,142.98,2.33,25.93
15-02-2018 11:00,152.93,79.93,2.26,27.41
15-02-2018 12:00,116.64,58.94,2.16,28.19
15-02-2018 13:00,134.7,59.5,2.29,29.49
15-02-2018 14:00,127.53,65.55,2.62,30.01
15-02-2018 15:00,151.99,69.78,2.23,30.74
15-02-2018 16:00,134.14,59.44,5.21,30.65
15-02-2018 17:00,136.46,54.34,2.3,29.95
15-02-2018 18:00,144.38,78.64,2.44,27.88
15-02-2018 19:00,180.76,95.54,3.04,25.28
15-02-2018 20:00,477.58,249.82,2.81,23.05
15-02-2018 22:00,495.65,301.03,2.81,21.82
15-02-2018 23:00,565.38,244.2,5.34,20.72
16-02-2018 00:00,432.25,188.18,2.8,19.06
16-02-2018 01:00,241.79,120.32,2.91,17.87
16-02-2018 02:00,249.4,109.37,3.19,16.8
16-02-2018 03:00,229.85,107.82,2.61,16.15
16-02-2018 04:00,247.8,126.01,2.75,15.67
16-02-2018 05:00,497.93,197.06,2.69,15.58
16-02-2018 06:00,503.66,209.4,3.13,15.24
16-02-2018 07:00,795.49,346.25,3.01,14.76
16-02-2018 08:00,639.3,453.72,3.41,17.75
16-02-2018 09:00,838.79,355.43,2.29,21.05
16-02-2018 10:00,630.95,283.67,5.84,24.72
16-02-2018 11:00,409.59,202.18,2.19,26.43
16-02-2018 12:00,434.51,224.18,2.13,28.48
16-02-2018 13:00,266.43,125.07,2.18,30.28
16-02-2018 14:00,192.46,78.37,2.09,30.43
16-02-2018 15:00,150.19,60.9,2.38,31.08
16-02-2018 16:00,161.32,58.63,2.22,30.5
16-02-2018 17:00,194.01,76.15,2.37,29.93
16-02-2018 18:00,194.1,86.39,2.42,27.88
16-02-2018 19:00,356.13,170.53,3.06,24.51
16-02-2018 20:00,777.49,343.97,2.99,22.67
16-02-2018 21:00,589.91,353.69,2.6,21.41
16-02-2018 22:00,686.5,244.25,2.46,22.06
16-02-2018 23:00,259.21,112.91,3.04,21.64
17-02-2018 00:00,351.02,146.78,2.52,20.53
17-02-2018 01:00,496.87,227.06,2.88,18.59
17-02-2018 02:00,665.69,283.05,3.07,17.59
17-02-2018 03:00,566.46,228.98,2.68,17.71
17-02-2018 04:00,251.8,113.54,2.83,16.24
17-02-2018 05:00,230.72,113.34,3.04,16.19
17-02-2018 06:00,263.53,119.27,2.5,16.58
17-02-2018 07:00,287.59,136.65,2.46,15
17-02-2018 08:00,725.3,409,2.66,18.11
17-02-2018 09:00,529.93,233.41,2.23,22.78
17-02-2018 10:00,259.84,118.19,2.31,26.29
17-02-2018 11:00,249.66,110.81,2.12,28.39
17-02-2018 12:00,200.29,76.59,2.24,29.31
17-02-2018 13:00,178.49,65.35,2.06,30.53
17-02-2018 14:00,146.83,54.92,2.61,36.48
17-02-2018 15:00,142.94,56.17,2.26,31.62
17-02-2018 16:00,171.34,73.25,2.73,31.74
17-02-2018 17:00,220.2,96.69,2.15,30.93
17-02-2018 18:00,189.82,86.28,3.03,29.49
17-02-2018 19:00,198.16,94.32,2.99,27.01
17-02-2018 20:00,701.38,254.77,3.39,23.82
17-02-2018 21:00,330.25,412.5,3.34,22.46
17-02-2018 22:00,131.54,446.2,8.67,21.9
17-02-2018 23:00,594.31,240.24,2.98,20.22
18-02-2018 00:00,228.47,115.93,3.3,19.93
18-02-2018 01:00,215.94,99.33,2.78,19.04
18-02-2018 02:00,264.88,128.14,2.77,18.13
18-02-2018 03:00,395.04,182.93,3.3,17.49
18-02-2018 04:00,537.62,223.84,3.17,17.18
18-02-2018 05:00,725.02,297.01,2.75,16.44
18-02-2018 06:00,700.67,266.59,3.19,16.24
18-02-2018 07:00,585.03,239.29,2.89,15.6
18-02-2018 08:00,882.9,420.16,2.54,17.55
18-02-2018 09:00,610.31,445.65,2.4,21.62
18-02-2018 10:00,779.17,388.89,2.53,25.17
